Topic 00,Topic 01,Topic 02,Topic 03,Topic 04,Topic 05,Topic 06,Topic 07,Topic 08,Topic 09,Topic 10,Topic 11
0.22218717139852787,0.005152471083070453,0.00452155625657203,0.0032597266035751843,0.3319663512092534,0.15657202944269188,0.06508937960042062,0.005783385909568875,0.0038906414300736067,0.0038906414300736067,0.1950578338590957,0.0026288117770767614
0.0026288117770767614,0.0032597266035751843,0.0032597266035751843,0.22912723449001052,0.02849631966351209,0.0026288117770767614,0.20578338590956888,0.014616193480546793,0.19316508937960042,0.14647739221871714,0.1672975814931651,0.0032597266035751843
0.00327834179357022,0.25835448392554994,0.08259306260575296,0.00645093062605753,0.005816412859560068,0.010892554991539764,0.023582910321489,0.002643824027072758,0.156831641285956,0.00327834179357022,0.22345600676818952,0.22282148900169205
0.00741399762752076,0.00741399762752076,0.00741399762752076,0.012752075919335706,0.00741399762752076,0.00741399762752076,0.00741399762752076,0.010972716488730725,0.00741399762752076,0.00741399762752076,0.00741399762752076,0.9095492289442467
0.007603972687771572,0.003879577901924271,0.003879577901924271,0.003879577901924271,0.47780881440099315,0.004810676598386096,0.003879577901924271,0.004810676598386096,0.019708255741775295,0.003879577901924271,0.4619801365611422,0.003879577901924271
0.14061181434599154,0.01719409282700422,0.4235232067510548,0.25453586497890296,0.08871308016877637,0.002637130801687764,0.002637130801687764,0.009599156118143461,0.0064345991561181445,0.008333333333333333,0.0399789029535865,0.005801687763713081
0.002627154266498529,0.002627154266498529,0.003257671290458176,0.003257671290458176,0.18232450609499792,0.002627154266498529,0.12305590584279108,0.01271542664985288,0.637557797393863,0.006410256410256411,0.003257671290458176,0.02028163093736864
0.0032597266035751843,0.1944269190325973,0.005783385909568875,0.2449001051524711,0.0032597266035751843,0.0026288117770767614,0.0026288117770767614,0.0032597266035751843,0.0026288117770767614,0.2366982124079916,0.1262881177707676,0.17423764458464774
0.1585648148148148,0.024726430976430975,0.13078703703703703,0.07901936026936027,0.008943602693602695,0.003261784511784512,0.02598905723905724,0.14846380471380471,0.07207491582491583,0.17055976430976433,0.16866582491582494,0.008943602693602695
0.2672377326565144,0.017237732656514383,0.00327834179357022,0.005181895093062607,0.014065143824027073,0.09718697123519458,0.028659052453468694,0.09972504230118442,0.002643824027072758,0.11368443316412859,0.007719966159052454,0.3433798646362098
0.0385666246321984,0.43831441782261454,0.06946195880622111,0.10918453131567885,0.037936107608238755,0.0978352248844052,0.1514291719209752,0.005149222362337117,0.002627154266498529,0.006410256410256411,0.03667507356031946,0.006410256410256411
0.024156118143459915,0.06086497890295359,0.2070675105485232,0.002637130801687764,0.0039029535864978904,0.009599156118143461,0.05959915611814346,0.04314345991561182,0.3703586497890295,0.07225738396624473,0.0032700421940928272,0.1431434599156118
0.13078703703703703,0.08470117845117844,0.0051557239057239065,0.10869107744107744,0.07018097643097643,0.0026304713804713806,0.07270622895622895,0.003893097643097643,0.0026304713804713806,0.32901936026936024,0.014625420875420877,0.17497895622895623
0.01082387557797394,0.15710382513661203,0.08900798654897014,0.003888188314417823,0.008932324506095,0.07513661202185792,0.09972677595628415,0.002627154266498529,0.2586170659941152,0.02469525010508617,0.2668137873055906,0.002627154266498529
0.002627154266498529,0.002627154266498529,0.002627154266498529,0.2718579234972678,0.06946195880622111,0.002627154266498529,0.006410256410256411,0.002627154266498529,0.6091845313156788,0.002627154266498529,0.002627154266498529,0.02469525010508617
0.38472047078604454,0.002627154266498529,0.002627154266498529,0.002627154266498529,0.002627154266498529,0.007040773434216058,0.019651113913408996,0.4496637242538882,0.003257671290458176,0.11990332072299285,0.002627154266498529,0.002627154266498529
0.00741399762752076,0.00741399762752076,0.11595492289442469,0.8099051008303678,0.00741399762752076,0.00741399762752076,0.00741399762752076,0.00741399762752076,0.00741399762752076,0.00741399762752076,0.00741399762752076,0.00741399762752076
0.1192728036990332,0.002627154266498529,0.002627154266498529,0.010193358554014292,0.002627154266498529,0.17664985287936108,0.23402690205968896,0.1407103825136612,0.08522488440521227,0.00451870533837747,0.14953762084909625,0.0719840269020597
0.002627154266498529,0.0183900798654897,0.04298024379991593,0.5530685161832702,0.2901429171920975,0.003257671290458176,0.002627154266498529,0.04424127784783523,0.011454392601933587,0.025956284153005462,0.002627154266498529,0.002627154266498529
0.1990945462202569,0.0026321330806485578,0.17572120446409772,0.0026321330806485578,0.13971362392082542,0.0026321330806485578,0.0026321330806485578,0.0038955569593598655,0.12455253737628974,0.14413560749631502,0.013371236049694674,0.18898715519056644
0.4740844196151459,0.003879577901924271,0.0057417752948479206,0.003879577901924271,0.003879577901924271,0.003879577901924271,0.003879577901924271,0.003879577901924271,0.47873991309745495,0.00946617008069522,0.004810676598386096,0.003879577901924271
0.07828919714165616,0.003257671290458176,0.0600042034468264,0.01712904581757041,0.05685161832702817,0.13188314417822614,0.15458175704077343,0.07324506094997899,0.005779739386296764,0.14701555275325767,0.17854140395124002,0.09342160571668767
0.09991577174141925,0.13655506422404717,0.1416087597388924,0.0026321330806485578,0.020951779321962516,0.05380080016845652,0.06011791956201306,0.2635291640345336,0.03169088229100863,0.03611286586649821,0.022215203200673824,0.13086965676984627
0.28762084909625896,0.2655527532576713,0.002627154266498529,0.002627154266498529,0.002627154266498529,0.003257671290458176,0.002627154266498529,0.002627154266498529,0.002627154266498529,0.002627154266498529,0.42255149222362337,0.002627154266498529
0.011497890295358651,0.28744725738396626,0.1020042194092827,0.2089662447257384,0.026054852320675104,0.012763713080168777,0.04314345991561182,0.06782700421940929,0.01339662447257384,0.01529535864978903,0.07921940928270042,0.13238396624472573
0.003257671290458176,0.02217318200924758,0.541088692728037,0.16151744430432957,0.002627154266498529,0.002627154266498529,0.002627154266498529,0.007040773434216058,0.24474569146700295,0.002627154266498529,0.002627154266498529,0.007040773434216058
0.10490319865319865,0.2728324915824916,0.010206228956228957,0.2728324915824916,0.03230218855218855,0.0695496632996633,0.03798400673400673,0.0026304713804713806,0.030408249158249155,0.003893097643097643,0.15919612794612795,0.003261784511784512
